Lot Number,Sale Number,Url,Title,Current Price,Current # Bids,Current # Watchers,# Page Views,Time Left
16164,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16164,"My Neighbor Totoro Mei Production Cel (Studio Ghibli, 1988).",155,8,63,44,23h 28m 14s
16165,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16165,"My Neighbor Totoro Satsuki and Mei Production Cel and Animation Drawing (Studio Ghibli, 1988).",56,4,53,26,23h 28m 7s
16166,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16166,"My Neighbor Totoro Satsuki, Mei, and Granny Production Cel with Custom Painted Background (Studio Ghibli, 1988).",130,5,126,573,23h 28m 1s
16167,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16167,"My Neighbor Totoro Totoro Production Cel (Studio Ghibli, 1988).",2600,15,185,375,23h 27m 55s
16168,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16168,"My Neighbor Totoro Opening Titles Production Cel (Studio Ghibli, 1988).",625,13,136,165,23h 27m 49s
16169,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16169,"Kiki's Delivery Service Kiki and Jiji Production Cel and Animation Drawing (Studio Ghibli, 1989).",3000,9,220,853,23h 27m 43s
16170,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16170,"Kiki's Delivery Service Kiki Production Cel and Animation Drawing (Studio Ghibli, 1989).",330,8,63,73,23h 27m 37s
16171,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16171,"Kiki's Delivery Service Kiki and Okino Production Cel (Studio Ghibli, 1989).",92,4,37,48,23h 27m 31s
16172,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16172,"Kiki's Delivery Service Kiki and Jiji Production Cel with Production Background (Studio Ghibli, 1989).",725,17,112,165,23h 27m 25s
16173,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16173,"Kiki's Delivery Service Potpie Girl Production Cel (Studio Ghibli, 1989).",12,2,59,47,23h 27m 19s
16174,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16174,"Kiki's Delivery Service Kiki Production Cel (Studio Ghibli, 1990).",430,17,94,118,23h 27m 13s
16175,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16175,"Kiki's Delivery Service Kiki Production Cel (Studio Ghibli, 1989).",230,8,66,80,23h 27m 3s
16176,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16176,"Kiki's Delivery Service Kiki Production Cel (Studio Ghibli, 1989).",555,10,95,126,23h 26m 54s
16177,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16177,"Only Yesterday Taeko Okajima Production Cel (Studio Ghibli, 1991).",1,1,29,61,23h 26m 48s
16178,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16178,"Porco Rosso Porco's Plane Production Cel (Studio Ghibli, 1992).",130,11,66,118,23h 26m 42s
16179,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16179,"Porco Rosso Fio Piccolo Production Cel (Studio Ghibli, 1992).",0,0,31,73,23h 26m 36s
16180,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16180,"Porco Rosso Fio Piccolo Production Cel (Studio Ghibli, 1992).",0,0,59,160,23h 26m 29s
16181,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16181,"Porco Rosso School Girls Production Cel (Studio Ghibli, 1992).",270,8,48,95,23h 26m 23s
16182,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16182,"Porco Rosso Donald Curtis Production Cel (Studio Ghibli, 1992).",2,2,40,44,23h 26m 17s
16183,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16183,"Porco Rosso Porco and Mr. Piccolo Production Cel (Studio Ghibli, 1992).",31,3,83,110,23h 26m 11s
16184,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16184,"Porco Rosso Fio Piccolo Production Cel Setup (Studio Ghibli, c. 1992).",100,2,101,201,23h 26m 5s
16185,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16185,"Pom Poko Tamasaburo Production Cel (Studio Ghibli, 1994).",56,4,29,31,23h 25m 59s
16186,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16186,"Pom Poko Shokichi Production Cel (Studio Ghibli, 1994).",52,3,27,22,23h 25m 53s
16187,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16187,"Pom Poko Oroku Production Cel (Studio Ghibli, 1994).",1,1,31,42,23h 25m 47s
16188,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16188,"Pom Poko Ponkichi Production Cel (Studio Ghibli, 1994).",21,2,28,31,23h 25m 41s
16189,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16189,"Princess Mononoke French Movie Poster Signed by Hayao Miyazaki (Studio Ghibli, 1997).",800,20,105,218,23h 25m 35s
16190,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16190,"Princess Mononoke San and Okkoto 4-Layer Production Cel Master Setup (Studio Ghibli, 1997).",525,12,100,225,23h 25m 29s
